start
frontView x3 z3
60,200
41,900
63,800
43,300
146,000
28,500
142,000
28,600
125,000
44,200
125,000
43,800
178,000
36,800
177,000
36,800
90,100
51,500
90,100
44,500
130,000
44,200
130,000
44,500
102,000
41,900
98,100
41,900
111,000
51,500
111,000
51,000
128,000
51,000
128,000
45,000
106,000
31,500
103,000
31,500
129,000
33,100
128,000
33,400
107,000
31,100
108,000
37,100
124,000
36,800
124,000
37,200
11,400
31,500
11,800
29,700
116,000
44,500
116,000
51,500
128,000
39,200
132,000
41,500
95,100
45,700
90,400
45,700
123,000
28,500
124,000
28,600
121,000
29,700
121,000
29,700
84,400
43,600
88,700
43,700
90,400
17,500
90,600
17,400
94,600
51,000
94,600
45,000
129,000
12,800
127,000
17,500
22,700
36,800
22,700
36,600
119,000
45,000
119,000
44,500
111,000
17,500
107,000
17,500
127,000
41,500
124,000
41,500
149,000
47,500
148,000
47,500
197,000
35,800
201,000
36,200
102,000
14,100
92,700
14,300
117,000
51,000
117,000
51,500
91,500
14,200
97,100
13,800
96,600
7,510
122,000
35,500
222,000
31,300
220,000
29,700
170,000
35,300
170,000
35,100
133,000
7,510
133,000
16,500
99,400
47,500
97,600
45,700
80,700
44,400
75,800
44,100
102,000
51,000
102,000
51,500
99,000
44,500
99,300
45,000
177,000
41,900
185,000
35,900
86,700
44,500
86,700
51,500
107,000
28,500
107,000
28,600
108,000
35,500
139,000
45,000
139,000
45,000
82,200
31,500
79,700
41,500
141,000
47,500
136,000
47,500
104,000
29,800
104,000
29,700
29,800
28,600
21,100
28,600
139,000
51,000
139,000
45,000
193,000
35,800
132,000
51,500
132,000
44,500
99,500
51,000
99,500
45,000
103,000
41,600
133,000
17,400
133,000
17,500
28,700
31,100
36,600
31,100
111,000
44,500
111,000
45,000
222,000
41,500
222,000
41,500
137,000
31,500
139,000
41,800
94,300
44,500
94,700
45,000
132,000
43,300
132,000
43,000
101,000
13,400
103,000
25,500
11,600
28,600
11,500
29,200
127,000
31,500
126,000
29,700
143,000
44,500
142,000
45,000
79,500
44,600
81,900
44,600
132,000
44,500
132,000
51,500
108,000
44,500
108,000
51,500
89,100
51,500
89,100
44,500
124,000
28,600
121,000
28,600
85,000
44,500
85,000
51,500
9,280
44,100
10,500
44,500
8,760
43,200
9,130
43,700
92,200
43,600
218,000
29,200
218,000
29,700
123,000
11,300
120,000
9,410
222,000
38,400
220,000
38,600
202,000
44,500
210,000
44,500
132,000
44,400
127,000
44,400
98,600
43,200
36,400
37,600
28,800
37,300
101,000
17,400
126,000
12,800
110,000
41,500
111,000
40,500
122,000
45,000
122,000
44,500
87,600
28,400
86,300
28,500
217,000
38,700
217,000
38,500
94,900
51,000
94,700
51,000
120,000
28,500
101,000
44,500
101,000
51,500
145,000
41,500
143,000
41,500
137,000
41,800
132,000
41,800
129,000
29,700
126,000
29,700
145,000
41,800
143,000
41,800
105,000
35,500
97,900
44,200
97,900
44,100
152,000
44,500
150,000
44,600
95,100
28,500
93,800
28,600
98,100
44,500
103,000
44,500
158,000
43,300
162,000
41,900
107,000
31,500
112,000
31,500
112,000
44,500
111,000
44,400
103,000
34,800
103,000
34,700
111,000
45,000
111,000
44,500
36,800
37,700
7,790
34,800
8,350
34,800
221,000
44,100
220,000
44,400
122,000
44,500
122,000
45,000
183,000
43,300
182,000
44,400
104,000
44,500
105,000
45,000
84,800
41,800
85,000
41,600
105,000
17,000
105,000
16,500
119,000
44,500
120,000
44,400
106,000
9,110
110,000
8,320
122,000
41,500
122,000
41,500
140,000
44,400
140,000
44,500
98,600
31,500
102,000
33,800
182,000
41,500
174,000
43,300
122,000
51,500
122,000
51,000
44,700
35,900
47,400
36,000
212,000
37,400
207,000
36,600
120,000
28,600
119,000
28,600
127,000
12,700
127,000
13,100
220,000
29,700
218,000
29,700
91,300
51,000
90,900
51,500
163,000
33,900
162,000
33,800
129,000
17,400
139,000
17,400
111,000
17,500
87,900
51,500
87,900
44,500
217,000
29,800
217,000
28,800
93,100
28,500
92,200
28,400
89,300
17,500
89,600
25,500
86,600
44,100
86,600
41,900
90,800
28,500
89,400
44,500
89,800
45,000
131,000
28,600
136,000
28,600
93,000
51,000
93,000
45,000
89,000
17,400
89,000
25,500
220,000
28,600
219,000
28,500
127,000
17,500
123,000
17,500
144,000
51,500
144,000
44,500
90,500
28,400
94,200
28,400
133,000
44,500
138,000
44,400
130,000
44,500
130,000
51,500
115,000
17,000
114,000
17,400
109,000
43,300
129,000
33,300
115,000
44,500
112,000
44,600
143,000
51,000
143,000
51,500
123,000
28,500
123,000
28,600
93,400
41,600
93,500
41,500
182,000
28,500
174,000
28,600
133,000
51,500
133,000
44,500
89,000
44,800
92,400
44,400
59,700
35,300
52,100
36,700
105,000
31,100
104,000
29,700
108,000
51,000
107,000
51,000
95,800
11,700
93,700
10,800
36,400
37,300
44,300
37,200
85,300
51,500
85,300
44,500
182,000
31,500
183,000
29,700
107,000
28,900
107,000
28,500
126,000
29,800
127,000
41,500
126,000
43,300
89,400
44,200
93,200
44,200
